Title,Price,Description,Link
GTX 1660 ti Palit 6GB,100.00,"Lisätiedot
			Näytönohjain toimii, ei ole avattu, pöly
poistettiin paineilmalla. Tuulettimet on voideltu.
Muovissa on naarmuja, jotka eivät vaikuta
suorituskykyyn.",https://www.tori.fi/uusimaa/GTX_1660_ti_Palit_6GB_118831745.htm?ca=18&w=1
Asus GeForce GTX 1650 4gb GDDR4,60.00,"Lisätiedot
			Hyvässä kunnossa oleva näyttis, säilytetty mukana
tulleessa pussissa. Postitus omalla vastuulla,
mieluiten nouto Kivenlahdesta.",https://www.tori.fi/uusimaa/Asus_GeForce_GTX_1650_4gb_GDDR4_118825727.htm?ca=18&w=1
Gigabyte GeForce RTX 4070 Ti WINDFORCE OC,720.00,"Lisätiedot
			Nvidian Gigabyte GeForce RTX 4070 Ti WINDFORCE OC
-näytönohjain, 12GB GDDR6X. Kunto kuin uusi, ollut
käytössä ehk muutaman kymmenisen tuntia. Mukaan
boksi jne kuitit. Nouto Espoosta Kilosta tai posti
mobilepay maksulla.Ovh. 930 https://www.jimms.fi/fi/Product/Show/193467/gv-n407twf3oc-12gd/gigabyte-gv-n407twf3oc-12gdLaita rohkeasti viestiä :)",https://www.tori.fi/uusimaa/Gigabyte_GeForce_RTX_4070_Ti_WINDFORCE_OC_118824837.htm?ca=18&w=1
Asus Nvidia Geforce GTX 760,25.00,"Lisätiedot
			Hyväkuntoinen, toimivana koneesta irroitettu
Geforce GTX 760 -näytönohjain.  Nouda Taka-Töölöstä!",https://www.tori.fi/uusimaa/Asus_Nvidia_Geforce_GTX_760_118821352.htm?ca=18&w=1
Sapphire Pulse 5700 XT,150.00,"Lisätiedot
			Ollut pelikäytössä. Mukaan alkuperäinen pakkaus.
Ostettu Jimssiltä 2020.Nouto Käpylästä tai postitus.",https://www.tori.fi/uusimaa/Sapphire_Pulse_5700_XT_118820927.htm?ca=18&w=1
Title not found,Price not found,Description not found,https://autot.tori.fi
Title not found,Price not found,Description not found,https://autot.tori.fi
Title not found,Price not found,Description not found,https://autot.tori.fi/vaihtoautot?korimalli=farmari%2Ctila-auto
Title not found,Price not found,Description not found,https://autot.tori.fi/vaihtoautot?korimalli=avoauto&hinta-max=8000
Title not found,Price not found,Description not found,https://autot.tori.fi/vaihtoautot?korimalli=avolava
Asrock RX 6800 XT Phantom Gaming,450.00,"Lisätiedot
			Asrock RX 6800 XT Phantom Gaming D OC 16GBLaitetaas myyntiin hyvin pelittänyt Asrockin
huippu näyttis, josta ei muistikaan ihan heti lopu
kesken. Tässä kortissa on siis jopa 16GB muistia.
Toimii niinkuin pitääkin. Näitä on harvoin
tarjolla.GPUGPU: AMD Radeon RX 6800 XTCUDA coret: 4608Kellotaajuus: 1875 Mhz / 2310 MHz (Boost)MuistiMäärä: 16GB GDDR6Muistiväylä: 256-bitNopeus: 16 GbpsLiitännät3 x DisplayPort 1.4a1 x HDMI 2.1MuutaVäylä: PCI-E 4.0 x16Mitat: 56 mm x 330 mm x 140 mmSuositeltu virtalähde: 650WVirrankulutus: 300WVirtaliitännät: 3 x 8-pinMieluiten nouto, mutta voidaan postittaakin.",https://www.tori.fi/uusimaa/Asrock_RX_6800_XT_Phantom_Gaming_118818792.htm?ca=18&w=1
"GIGABYTE Eagle Geforce RTX 3060 8GB, LHR",260.00,"Lisätiedot
			Keskisarjan nVidia RTX 3060Ti -piirin
näytönohjain. Tuulettimet kunnossa, lämmöt ok,
kortti toimii kaikilta osin niinkuin pitääkin.
Paras valinta myös vanhemman GTX kortin
päivittäjille.LHR malli, jolla ei voi louhia.Pituus: 242 mmLeveys: 124 mmKorkeus: 41 mmhttps://www.gigabyte.com/Graphics-Card/GV-N306TEAGLE-8GD-rev-20Nouto Vantaalta tai postitus hintaan 8,90 euroa.",https://www.tori.fi/uusimaa/GIGABYTE_Eagle_Geforce_RTX_3060_8GB__LHR_118818362.htm?ca=18&w=1
Asus tuf rx 6900xt top edition,650.00,"Lisätiedot
			Myydään tuf rx6900xt top edition. Toimii niinkuin
pitääkin. Ostettu jimms 5.8.2022. Eli takuuta
reippaasti jäljellä. Takuulappu ja
alkuperäislaatikko mukaan.",https://www.tori.fi/uusimaa/Asus_tuf_rx_6900xt_top_edition_118817917.htm?ca=18&w=1
Asus Strix 6750 xt,450.00,"Lisätiedot
			6750xt Strix näytönohjain myyntiin seuraavan
tieltä.Alkuperäinen pakkaus ja kuitti tallessa.Ostettu 10.12.2022, joten takuuta vielä reilusti
jäljellä.",https://www.tori.fi/uusimaa/Asus_Strix_6750_xt_118817297.htm?ca=18&w=1
Palit RTX 3070 Ti GamingPro,420.00,"Lisätiedot
			Myydään Palit GeForce RTX 3070 Ti GamingPro
näytönohjain, joka toimii niinkuin pitääkin.Tehokas kolmen tuulettimen näyttis, jossa pysyy
lämmötkin matalana. Hienot ARGB ledivalot.
Virtaliittiminä 2x8pin ja virrankulutus 290W.
Muistina uudempi ja nopeampi 8GB GDDR6X.Kortti on todella hyväkuntoinen, pölystä puhdas,
valmis ruuvattavaksi uuden omistajan koneeseen.Valmistajan sivulta speksit:https://www.palit.com/palit/vgapro.php?id=4306&lang=enMieluiten nouto Helsingistä.",https://www.tori.fi/uusimaa/Palit_RTX_3070_Ti_GamingPro_115847994.htm?ca=18&w=1
GeForce RTX 3070 Tuf Gaming -näytönohjain,370.00,"Lisätiedot
			Hei,Myynnissä hyväkuntoinen GeForce RTX 3070 Tuf
Gaming -näytönohjain.Ollut käytössä 1,5v ajan, takuuta jäljellä
kevääseen 2024.",https://www.tori.fi/uusimaa/GeForce_RTX_3070_Tuf_Gaming__naytonohjain_118622248.htm?ca=18&w=1
GTX 1080 8GB Sea Hawk,250.00,"Lisätiedot
			Myynnissä Nvidia GTX1080 MSI Corsair Sea Hawk
näytönohjain. Näytönohjain on hyvässä kunnossa ja
siitä on pidetty hyvää huolta ajan myötä. Edelleen
hyvin tehokas, ja integroidun vesijäähdytyksen
ansiosta pysyy erittäin kylmänä muihin
näytönohjaimiin verrattuna.VRAM 8GB GDDR5XDirectX 12(Kaikki tekniset tiedot löytyy netistä)Mieluiten haku. Kysymykset viestitse.",https://www.tori.fi/uusimaa/GTX_1080_8GB_Sea_Hawk_118812819.htm?ca=18&w=1
Gigabyte GeForce RTX 3070 GAMING OC 8G 2.0,375.00,"Lisätiedot
			Pidetty 0.9v @1775, jolloin kortti on hiljainen.
Hyvin toiminut, ei yhtään ongelmia ole ollut.
Ostettu viitisen kuukautta sitten Verkkokaupasta,
eli pitkä takuu vielä. Pelailtu vain Hell Let
Loosea. LHR malli. Myydään tehokkaamman tieltä
pois, eli ei tarvetta vaihdoille!Mukaan orkkisboxi ja takuukuitti. Vain nouto Pohjois-Haagasta ja maksu MobilePaylla.",https://www.tori.fi/uusimaa/Gigabyte_GeForce_RTX_3070_GAMING_OC_8G_2_0_118810730.htm?ca=18&w=1
Rx 5500 xt (2 kpl),65.00,"Lisätiedot
			Kaksi RX 5500 XT korttia ilman tuulettimia ja
koteloita. Mahdollisuus asentaa uudet jos löytyy
innostusta. Voin myös vaihtaa 5700 xt korttiin ja
maksaa välirahaa tai jos molemmat niin ilman
välirahaa.65/kpl tai 120 molemmat",https://www.tori.fi/uusimaa/Rx_5500_xt__2_kpl__118801492.htm?ca=18&w=1
NVIDIA Quadro RTX 4000 8 Gt -näytönohjain,1357.00,"Lisätiedot
			Vaihdetaan vastaavan hintaiseen peli
näytönohjaimeen.https://www.verkkokauppa.com/fi/product/582040/PNY-NVIDIA-Quadro-RTX-4000-8-Gt-naytonohjain",https://www.tori.fi/uusimaa/NVIDIA_Quadro_RTX_4000_8_Gt__naytonohjain_118785780.htm?ca=18&w=1
EVGA Geforce GTX 980 Ti,90.00,"Lisätiedot
			Myydään käytetty näytönohjain. Takuuta, kuittia
tai alkuperäistä pakkausta ei enää jäljellä. Hinta
ei sisällä postikuluja.",https://www.tori.fi/uusimaa/EVGA_Geforce_GTX_980_Ti_118785742.htm?ca=18&w=1
Geforce GTX 1660 Super Ghost Oc,120.00,"Lisätiedot
			Erinomaisesti toimiva tehokas näytönohjain, joka
suunniteltu pelaamiseen. Itse pelannut tällä mm.
RDR2 ja vastaavia pelejä. Ikää näytönohjaimella on
pari vuotta. Lisätiedot
https://www.verkkokauppa.com/fi/product/692974/Gainward-GeForce-GTX-1660-SUPER-Ghost-OC-naytonohjain
 Nouto tai postit 6e lisätään hintaan.",https://www.tori.fi/uusimaa/Geforce_GTX_1660_Super_Ghost_Oc_118777085.htm?ca=18&w=1
Näytönohjaimet ASUS TUF RTX 3080 OC 10G,499.00,"Lisätiedot
			Vähän käytössä olevia näytönohaimia.",https://www.tori.fi/uusimaa/Naytonohjaimet_ASUS_TUF_RTX_3080_OC_10G_118775591.htm?ca=18&w=1
Asus Strix 1080 8G,120.00,"Lisätiedot
			Hyvin palvellut näyttis pois uuden tieltä. Alkuperäistä laatikkoa ei enää ole.",https://www.tori.fi/uusimaa/Asus_Strix_1080_8G_118769064.htm?ca=18&w=1
RTX 3060ti,220.00,"Lisätiedot
			HP koneesta otettu näytönohjain hyvässä kunnossa
hellästi käytetty hyvin toimiva hinta on pysyvä",https://www.tori.fi/uusimaa/RTX_3060ti_118767536.htm?ca=18&w=1
Inno3D Geforce GTX 1070,90.00,"Lisätiedot
			Siitä uuden näytönohjaimen tieltä vanha myyntiin.
Näytönohjain tullut konepaketissa 2020 ja ollut
siitä lähtien pelkällä pelikäytöllä. Toinen
tuulettimista on vaihdon tarpeessa. ( jopa
pienikin rasitus saa ääntämään vähän kovemmin)
mutta toimii silti huoletta. Tahnat vaihdettu
juuri. Testattu toimivaksi ja lämmöt rasituksessa
max 77 astetta (furmark) Pakettia ei ole, joten mielellään nouto
Mäntsälästä. Näytönohjainta voi testata
halutessaan paikanpäällä.",https://www.tori.fi/uusimaa/Inno3D_Geforce_GTX_1070_118767235.htm?ca=18&w=1
EVGA RTX 2070 XC Ultra Gaming 8GB,220.00,"Lisätiedot
			Myydään uuden tieltä suoraan käytöstä. Ei coil
whineä, lämmöt omassa kokoonpanossa 50-60 astetta.
Alkuperäinen paketti mukaan.",https://www.tori.fi/uusimaa/EVGA_RTX_2070_XC_Ultra_Gaming_8GB_118764526.htm?ca=18&w=1
"Rtx 3090 24gb, helsinki",1100.00,"Lisätiedot
			Hankin tämän tekoälyllä tehtävään
kuvanmuokkaukseen, mutta en enää tarvitse sitä. Ei
ole louhittu, eikä juurikaan muuten käytetty.
Alkuperäinen pakkaus. Haettavissa Malmilta.
Käteisellä.",https://www.tori.fi/uusimaa/Rtx_3090_24gb__helsinki_118762279.htm?ca=18&w=1
GeForce GTX 1050 Ti GAMING X 4G,50.00,"Lisätiedot
			Muutaman vuoden käytössä ollut normaali kuntoinen
näytönohjain.",https://www.tori.fi/uusimaa/GeForce_GTX_1050_Ti_GAMING_X_4G_118762119.htm?ca=18&w=1
Asus Gtx 1660 super näytönohjain,90.00,"Lisätiedot
			Vuoden käytössä ollut pelinäytönohjain toimii
ilman mitään vikoja. Ostettu 2022 ja pyörittää
uusimpiakin pelejä hyvin. Myydään pois uuden
tilalta",https://www.tori.fi/uusimaa/Asus_Gtx_1660_super_naytonohjain_118761237.htm?ca=18&w=1
Asus GeForce RTX 3060 Ti DUAL - OC Edition (LHR),280.00,"Lisätiedot
			Tuotteesta puuttuu näytönohjaimen suojamuovi mutta
muuten kaikki mukanaKaupat noutona & maksutapana MobilePayhttps://www.asus.com/fi/motherboards-components/graphics-cards/dual/dual-rtx3060ti-o8g/",https://www.tori.fi/uusimaa/Asus_GeForce_RTX_3060_Ti_DUAL___OC_Edition__LHR__118758905.htm?ca=18&w=1
Msi Geforce GTX 1060 6gb,60.00,"Lisätiedot
			Itselle ylimääräinen, toimivana purettu
näytönohjain. En postita",https://www.tori.fi/uusimaa/Msi_Geforce_GTX_1060_6gb_118757108.htm?ca=18&w=1
Näytönohjain - ASUS DirectCU II Radeon R9 280 3GB,40.00,"Lisätiedot
			ASUS DirectCU II Radeon R9 280 3GB GDDR5 PCI
Express 3.0CrossFireX Support Video Card R9280-DC2T-3GD5Muuta:Itse kupu puuttuu, mutta huomioitu hinnassa...Tämän takia kunto vain hyvä ei erinomainen...Voit soittaa, tai tekstata minulle numeroon...WhatsApp:lla sekä normaalisti:Puh. 0400516246Muista katsella muutkin Tori-ilmoitukseni.Kirjainmerkitse Kaikki-Ilmoitukseni Sivut...(Myytävä vaihtuu Usein.)Otan Kaikenlaisia Tarjouksia Vastaan...",https://www.tori.fi/uusimaa/Naytonohjain___ASUS_DirectCU_II_Radeon_R9_280_3GB_118754723.htm?ca=18&w=1
Näytönohjain,200.00,"Lisätiedot
			Myyntiin vähällä käytöllä ollut GeForce RTX 2080
mini 8Gt näytönohjain. Postitus onnistuu tai
sitten nouto Laajasalosta. Maksu mielellään
MobilePay:llä.",https://www.tori.fi/uusimaa/Naytonohjain_118752030.htm?ca=18&w=1
Amd Radeon RX 570 Series näytönohjain,120.00,"Lisätiedot
			Kunto: Hyvä.Käyttöaika: 3 vuotta.Muisti: 8 GB.",https://www.tori.fi/uusimaa/Amd_Radeon_RX_570_Series_naytonohjain_118751908.htm?ca=18&w=1
ASUS Phoenix GeForce GTX 1660 Ti OC edition,130.00,"Lisätiedot
			Used GTX 1660 Ti for sale. Works well, selling due
to upgrade. Pickup from Lehtisaari.",https://www.tori.fi/uusimaa/ASUS_Phoenix_GeForce_GTX_1660_Ti_OC_edition_118734549.htm?ca=18&w=1
Asus DUAL RTX2060 OC 6 GB EVO,150.00,"Lisätiedot
			Suoraan käytöstä, ensimmäiseltä omistajalta,
virheettömästi ja ongelmitta palvellut
pelinäytönohjain FullHD pelaamiseen. Ei ole
louhittu, jäähyä ei ole irrotettu, eikä muutenkaan
räpelletty. Pölyjä puhalleltu pois tasaisin
väliajoin paineilmalla.Mieluiten nouto tai kuljetus pk-seudulla (+10
euron lisähintaan), postitus onnistuu
huolellisesti pakattuna, mutta koska ei ole
originaalipakkauksia, niin postitettaessa en
vastaa kuljetuksessa rikkoutuneesta komponentista.Alla speksit verkkokauppa.comin sivuilta, josta
tämä alunperin ostettukin:Piiri: GeForce RTX 2060CUDA-ydinten määrä: 1920Kellotaajuus OC mode : 1785 MHz (Boost)/ 1395 MHz
(Base)Kellotaajuus Gaming mode : 1755 MHz (Boost)/ 1365
MHz (Base)Muisti: 6144 Mt, 192-bit GDDR6Muistin kellotaajuus: 14000 MHzVäylä: PCI-Express 3.02 x HDMI 2.0b, 1 x Display Port 1.4, 1x Dual-Link
DVI-DMaksimiresoluutio: 7680 x 4320Näyttöjen maksimimäärä: 4NVLink/SLI-tuki: EiNVIDIA PhysX, CUDAAdaptive V-Sync -tukiG-SYNC -tukiOpenGL 4.5Mitat: 24,2 x 13 x 5,3 cmVirtaliittimet: 1 x 8-pinVirtalähdesuositus: 500 W",https://www.tori.fi/uusimaa/Asus_DUAL_RTX2060_OC_6_GB_EVO_118724349.htm?ca=18&w=1
Asus dual geforce rtx 3060t1 8gb,240.00,"Lisätiedot
			Moro.Myyntiin Asus dual geforce rtx 3060ti mini 8gb.Pari vuotta vanha mutta toimii niinkuin sen
täytyykin.Tehokkaamman tieltä pois.Hinta 240/tarjoaTilisiirto, pivo, osuuspankkiKouvola",https://www.tori.fi/uusimaa/Asus_dual_geforce_rtx_3060t1_8gb_118722911.htm?ca=18&w=1
Asus Poseidon 980ti 6gb,100.00,"Lisätiedot
			Siitä tähän hintaan tehokas näytönohjain, ei pidä
ylimääräisiä ääniä yms, mutta on vaan vähän
pölyinen, ollut pelikäytössä viimeksi noin viikko
sitten ja menee myyntiin uuden näytönohjaimen
takia. Pölyt putsaan ennen myymistä.Haku Porvoosta, en postita. Maksu käteinen tai
mobilepay.",https://www.tori.fi/uusimaa/Asus_Poseidon_980ti_6gb_118722635.htm?ca=18&w=1
MSI GTX 1080 armor,140.00,"Lisätiedot
			Vanha kunnon näyttis ja pelittää hyvin. Hieman
pölyinen on, puhdistus jää ostajalle. Tuulettimet
ei äännä ja kaikki toimii kuten pitääkin. Ei
pakettia tallessa. Käytettynä hankittu. Hinta on
hyvä sellaisenaan. Nouto Espoonlahdesta tai
mahdollisesti Lohjalta viikonloppuisin. Postitus
myös onnistuu, maksu etukäteen ja ostaja maksaa
postikulut. Käteinen tai mobilepay. Suunnilleen
yhtä tehokas kuin RTX 3060.Hakusanoja : näytönohjain, nvidia geforce, kortti",https://www.tori.fi/uusimaa/MSI_GTX_1080_armor_118722215.htm?ca=18&w=1
3090ti,950.00,"Lisätiedot
			erinomaisessa kunnossa oleva 3090ti suprim xostettu jimsiltä: 2.8.2022 eli vielä 2 vuotta
löytyy takuuta.nouto vain karkkilasta. Hinta on tiukka.",https://www.tori.fi/uusimaa/3090ti_118719047.htm?ca=18&w=1
MSI Nvidia Geforce GTX 1050 Ti 4GB Low profile,60.00,"Lisätiedot
			MSI Nvidia Geforce GTX 1050 Ti 4GB LPKortti on uudenveroinen.Nouto tai postitus +7e (maksu Mobilepay, Pivo,
S-Pankki)",https://www.tori.fi/uusimaa/MSI_Nvidia_Geforce_GTX_1050_Ti_4GB_Low_profile_118710121.htm?ca=18&w=1
Asus 2060 Dual OC - Vaihto,140.00,"Lisätiedot
			Asus 2060 Dual OC.Normaali käytössä, muutama päivä viikossa. Olisiko
2v-3v ikää.   Vaihdetaan 2060+rahaa. -->Tehokkaampaan Nvidia tai AMD korttiin.Nvidia alkaen RTX 3060AMD alkaen RX 6750",https://www.tori.fi/uusimaa/Asus_2060_Dual_OC___Vaihto_118708405.htm?ca=18&w=1
MSI Radeon Rx5700 XT gaming x,185.00,"Lisätiedot
			Myynnissä tehokas näytönohjain ostettu 19.06.2020
verkkokaupasta kuitti löytyy. Uuden tieltä pois,
alkuvuodesta asti ollut käyttömättämänä. Sopii
hyvinn full hd ja uhd pelaamiseen.",https://www.tori.fi/uusimaa/MSI_Radeon_Rx5700_XT_gaming_x_118703661.htm?ca=18&w=1
GTG-1070 8Gb näytönohjain,110.00,"Lisätiedot
			Näyttis GTG-1070 8Gb pituus 243\255 kork 130 lev 2 korttipaikkaa 8-pin
virtaliitin2xhdmi, 2xDP, 1xDVINouto/postitus",https://www.tori.fi/uusimaa/GTG_1070_8Gb_naytonohjain_118681729.htm?ca=18&w=1
Title not found,Price not found,Description not found,https://www.tori.fi/koko_suomi?splan=gigantti
Title not found,Price not found,Description not found,https://www.tori.fi/koko_suomi?splan=gigantti
Title not found,Price not found,Description not found,https://www.tori.fi/koko_suomi?splan=gigantti
